ID,Command,Log File,Result,All Detected Rules
42,"sudo bpftrace --unSaFe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack42.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
43,"sudo bpftrace --unsaf\`e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack43.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
44,"sudo bpftrace --un""sa""fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack44.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
45,"sudo bpftrace --""un""safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack45.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
46,"sudo bpftrace --uns""a""fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack46.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
47,"sudo bpftrace --u""nsa""fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack47.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
48,"sudo bpftrace --unsa\fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack48.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
49,"sudo bpftrace --un saf e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack49.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
50,"sudo bpftrace --u nsa fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack50.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
51,"sudo bpftrace --unsaf#e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack51.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
52,"sudo bpftrace --unsaf@e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack52.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
53,"sudo bpftrace --unsa!fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack53.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
54,"sudo bpftrace --un^safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack54.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
55,"sudo bpftrace --un~safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack55.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
56,"sudo bpftrace --un%safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack56.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
57,"sudo bpftrace --un+safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack57.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
58,"sudo bpftrace --unsa=fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack58.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
59,"sudo bpftrace --unsa(fe) -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack59.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
60,"sudo bpftrace --un{safe} -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack60.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
61,"sudo bpftrace --remote-e --e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack61.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
62,"sudo bpftrace --un-safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack62.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
63,"sudo bpftrace --UNSAFE -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack63.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
64,"sudo bpftrace --insecure -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack64.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
65,"sudo bpftrace --not-safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack65.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
66,"sudo bpftrace --usafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack66.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
67,"sudo bpftrace --allow-unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack67.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
68,"sudo bpftrace --un_safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack68.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
69,"sudo bpftrace --un.s.a.f.e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack69.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
70,"sudo bpftrace --us@fe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack70.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
71,"sudo bpftrace --dangerous -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack71.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
72,"sudo bpftrace --not-secure -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack72.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
73,"sudo bpftrace --u_n_s_a_f_e -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack73.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
74,"sudo bpftrace --unsafe=true -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack74.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
75,"sudo bpftrace --enable-unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack75.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
76,"sudo bpftrace --allow_danger -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack76.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
77,"sudo bpftrace -e --unsafe 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack77.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
78,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe-mode",BPFtrace_Unsafe_Option_Usage_attack78.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
79,"sudo bpftrace --flag=unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack79.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
80,"sudo bpftrace --risk-elevated -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack80.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
81,"sudo bpftrace --nonsecure -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack81.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
82,"sudo bpftrace --execute-risk -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack82.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
83,"sudo bpftrace --hazardous -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack83.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
84,"sudo bpftrace --temp-unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack84.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
85,"sudo bpftrace --danger-mode -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack85.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
86,"sudo bpftrace --critical-mode -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack86.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
87,"sudo bpftrace --peril -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack87.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
88,"sudo bpftrace --flag_unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack88.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
89,"sudo bpftrace --bypass-safe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack89.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
90,"sudo bpftrace --testflag=unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack90.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
91,"sudo bpftrace --insecure -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack91.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
92,"sudo bpftrace --risk -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack92.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
93,"sudo bpftrace --danger -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack93.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
94,"sudo bpftrace --hazard -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack94.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
95,"sudo bpftrace --no-sandbox -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack95.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
96,"sudo bpftrace --permit-all -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack96.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
97,"sudo bpftrace --trust-me -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack97.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
98,"sudo bpftrace --raw -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack98.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
99,"sudo bpftrace --force -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack99.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
100,"sudo bpftrace --override -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack100.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
101,"sudo bpftrace --allow-all -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack101.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
102,"sudo bpftrace --no-guard -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack102.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
103,"sudo bpftrace --elevated -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack103.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
104,"sudo bpftrace --debug-all -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack104.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
105,"sudo bpftrace --expert -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack105.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
106,"sudo bpftrace --open-mode -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack106.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
107,"sudo bpftrace --free-run -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack107.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
108,"sudo bpftrace --no-checks -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack108.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
109,"sudo bpftrace --unrestricted -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack109.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
110,"sudo bpftrace --power-user -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack110.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
111,"sudo bpftrace --danger-zone -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack111.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
112,"sudo bpftrace --raw-exec -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack112.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
113,"sudo bpftrace --low-safety -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack113.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
114,"sudo bpftrace --bypass-guard -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack114.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
115,"sudo bpftrace --no-restrictions -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack115.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
116,"sudo bpftrace --advanced -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack116.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
117,"sudo bpftrace --internal -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack117.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
118,"sudo bpftrace --full-access -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack118.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
119,"sudo bpftrace --kernel-mode -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack119.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
120,"sudo bpftrace --privileged -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack120.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
121,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack121.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
122,"bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack122.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
123,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack123.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
124,"sudo ./bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack124.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
125,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack125.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
126,"sudo /usr/bin/bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack126.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
127,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' # unsafe removed",BPFtrace_Unsafe_Option_Usage_attack127.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
128,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' # no unsafe flag",BPFtrace_Unsafe_Option_Usage_attack128.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
