ID,Command,Log File,Result,All Detected Rules
16,"find . -exec /b""in""/s""h"" \; -quit",Shell_Execution_via_Find_attack16.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
17,"find . -exec ""/bin/sh"" \; -quit",Shell_Execution_via_Find_attack17.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
18,"find . -exec /""bin""/""sh"" \; -quit",Shell_Execution_via_Find_attack18.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
19,find . -exec /bi''n/sh \; -quit,Shell_Execution_via_Find_attack19.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
20,"find . -exec /bin/sh \; -""quit""",Shell_Execution_via_Find_attack20.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
21,"find . -exec /bin/s""h"" \; -quit",Shell_Execution_via_Find_attack21.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
22,"find . -exec /bin//s""h"" \; -quit",Shell_Execution_via_Find_attack22.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
23,"find . -exec /b'in'//s""h"" \; -quit",Shell_Execution_via_Find_attack23.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
24,"find . -exec /bin/sh \; -""q""""uit""",Shell_Execution_via_Find_attack24.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
25,"find . -exec /bin/sh \; -q""u""it",Shell_Execution_via_Find_attack25.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
26,"find . -exec /bin/sh \; -qui""t""",Shell_Execution_via_Find_attack26.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
27,find . -exec /bin/sh \; -q'u''it',Shell_Execution_via_Find_attack27.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
28,find . -exec /bin///sh \; -quit,Shell_Execution_via_Find_attack28.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
29,"find . -exec /b""i""n/s""h"" \; -quit",Shell_Execution_via_Find_attack29.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
30,find . -exec /bin/sh \; -qu\\it,Shell_Execution_via_Find_attack30.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
31,find . -exec /bin/s\\h \; -quit,Shell_Execution_via_Find_attack31.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
32,find . -exec /bin/\\sh \; -quit,Shell_Execution_via_Find_attack32.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
33,find . -exec /bi\\n/sh \; -quit,Shell_Execution_via_Find_attack33.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
34,find . -exec /b\\in/sh \; -quit,Shell_Execution_via_Find_attack34.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
35,find . -exec /b\\i\\n/sh \; -quit,Shell_Execution_via_Find_attack35.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
36,find . -exec /bin/sh \; -qui\\t,Shell_Execution_via_Find_attack36.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
37,find . -exec /bin/sh \; -q\\uit,Shell_Execution_via_Find_attack37.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
38,find . -exec /bin/sh \; -q\\u\\it,Shell_Execution_via_Find_attack38.log,Trigger: Shell Execution via Find - Linux,File Deletion | Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
39,find . -exec /bin\\sh \; -quit,Shell_Execution_via_Find_attack39.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
40,find . -exec /bin/\\s\\h \; -quit,Shell_Execution_via_Find_attack40.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
41,find . -exec /bin\\//sh \; -quit,Shell_Execution_via_Find_attack41.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
42,find . -exec /bin/\\'sh\\' \; -quit,Shell_Execution_via_Find_attack42.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
43,"find . -exec /b""in""/sh \; -quit",Shell_Execution_via_Find_attack43.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
44,"find . -exec /bi""n""/s""h"" \; -quit",Shell_Execution_via_Find_attack44.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
45,"find . -exec /bin/s""h"" \; -qui""t""",Shell_Execution_via_Find_attack45.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
46,find . -exec /bin/sh \; -q\u\i\t,Shell_Execution_via_Find_attack46.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
47,"find . -exec /b'i'n//s""h"" \; -qu'it",Shell_Execution_via_Find_attack47.log,Log Error (Result Not Found),
48,"find . -exec /bin\\sh \; -qui""t""",Shell_Execution_via_Find_attack48.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
49,find . -exec /bin/sh \; -'q''u''i''t',Shell_Execution_via_Find_attack49.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
50,"find . -exec /bi""n""/sh \; -qu""it""",Shell_Execution_via_Find_attack50.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
51,"find . -exec /bin/s""h"" \; -q""ui""t",Shell_Execution_via_Find_attack51.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
52,"find . -exec /b'in'/sh \; -""quit""",Shell_Execution_via_Find_attack52.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
53,"find . -exec /b""i""n/""s""h \; -""quit""",Shell_Execution_via_Find_attack53.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
54,"find . -exec ""/bin/s""h \; -quit",Shell_Execution_via_Find_attack54.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
55,"find . -exec //bin/s""h"" \; -""quit""",Shell_Execution_via_Find_attack55.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
56,"find . -exec //bi""n""//sh \; -quit",Shell_Execution_via_Find_attack56.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
57,"find . -exec /bi'n'//s""h"" \; -qu""it""",Shell_Execution_via_Find_attack57.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
58,find . -exec /b'in'//sh \; -qu'i't,Shell_Execution_via_Find_attack58.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
59,"find . -exec /bin/s""h"" \; -""qu""it""",Shell_Execution_via_Find_attack59.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
60,"find . -exec /bin/sh \; -q""u""i""t""",Shell_Execution_via_Find_attack60.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
61,find ./ -exec /bin/sh \; -quit,Shell_Execution_via_Find_attack61.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
62,find /tmp -exec /bin/sh \; -quit,Shell_Execution_via_Find_attack62.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
63,find . -ok /bin/sh \; -quit,Shell_Execution_via_Find_attack63.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
64,find ./ -ok /bin/sh \; -quit,Shell_Execution_via_Find_attack64.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
65,find /tmp -ok /bin/sh \; -quit,Shell_Execution_via_Find_attack65.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
66,"find . -exec /bin/sh \; -q""""uit",Shell_Execution_via_Find_attack66.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
67,"find . -exec /bin/sh \; --qui""""t",Shell_Execution_via_Find_attack67.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
68,find . -exec /bin/sh \; $(echo -quit),Shell_Execution_via_Find_attack68.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
69,find . -exec /bin/sh \; -${EMPTY}quit,Shell_Execution_via_Find_attack69.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
70,"find . -exec /bin/s""h"" \; -quit",Shell_Execution_via_Find_attack70.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
71,find . -exec /bin/'sh' \; -quit,Shell_Execution_via_Find_attack71.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
72,find . -exec /bin/s\\h \; -quit,Shell_Execution_via_Find_attack72.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
73,find . -exec /bin/sh \; --qu''it,Shell_Execution_via_Find_attack73.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
74,find . -exec /bin/sh \; -qu\it,Shell_Execution_via_Find_attack74.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
75,find . -exec /bin/sh \; -qui\t,Shell_Execution_via_Find_attack75.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
76,find . -exec /bin/sh \; -q\u\i\t,Shell_Execution_via_Find_attack76.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
77,"find . -exec /b""""in/sh \; -quit",Shell_Execution_via_Find_attack77.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
78,find . -exec /bi\\n/sh \; -quit,Shell_Execution_via_Find_attack78.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
79,find . -exec /bin/sh \; -qu''it,Shell_Execution_via_Find_attack79.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
80,find . -exec /bin/sh \; -qui$EMPTYt,Shell_Execution_via_Find_attack80.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
81,find . -exec /bin/sh \; -qui$(echo t),Shell_Execution_via_Find_attack81.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
82,find . -exec /bin/sh \; -qui$((1+1-1))t,Shell_Execution_via_Find_attack82.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
83,"find . -exec ""$(which sh)"" \; -quit",Shell_Execution_via_Find_attack83.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
84,find . -exec /bin/sh \; -qu\i\t,Shell_Execution_via_Find_attack84.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
85,find . -exec /bin/sh \; -qui\u\it,Shell_Execution_via_Find_attack85.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
86,find . -exec /bin/sh \; -qu''it,Shell_Execution_via_Find_attack86.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
87,"find . -exec /bin/sh \; -qu""it""",Shell_Execution_via_Find_attack87.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
88,"find . -exec /bin/sh \; -qui""""t",Shell_Execution_via_Find_attack88.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
89,"find . -exec /bin/sh \; ""-quit""",Shell_Execution_via_Find_attack89.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
90,find . -exec /bin/sh \; --qu\t,Shell_Execution_via_Find_attack90.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
91,find . -exec /bin/bash \; -quit,Shell_Execution_via_Find_attack91.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
92,find . -exec /bin/dash \; -quit,Shell_Execution_via_Find_attack92.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
93,find . -exec /bin/zsh \; -quit,Shell_Execution_via_Find_attack93.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
94,find . -exec /bin/fish \; -quit,Shell_Execution_via_Find_attack94.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
95,"find . -exec /bin/s""h"" \; -q""u""it",Shell_Execution_via_Find_attack95.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
96,find . -exec /b'in'/sh \; -quit,Shell_Execution_via_Find_attack96.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
97,"find . -exec /bi'n'/s""h"" \; -quit",Shell_Execution_via_Find_attack97.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
98,"find . -exec ""/bin/sh"" \; -quit",Shell_Execution_via_Find_attack98.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
99,"find . -exec '""/bin/sh""' \; -quit",Shell_Execution_via_Find_attack99.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
100,find . -exec $(which sh) \; -quit,Shell_Execution_via_Find_attack100.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
101,find . -exec` /usr/bin/env sh `\; -quit,Shell_Execution_via_Find_attack101.log,Log Error (Result Not Found),
102,"find . -exec /bin/sh \; -q""""u""""i""""t",Shell_Execution_via_Find_attack102.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
103,find . -exec /bin/sh \; --qu\t,Shell_Execution_via_Find_attack103.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
104,find . -exec /bin/sh \; -qui\t,Shell_Execution_via_Find_attack104.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
105,find . -exec /bin/sh \; -q\u\i\t,Shell_Execution_via_Find_attack105.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
106,find . -exec /bin/sh \; $(printf '%s' -quit),Shell_Execution_via_Find_attack106.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
107,"find . -exec /bin/sh \; ""$(echo -quit)""",Shell_Execution_via_Find_attack107.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
108,"find . -exec /bin/sh \; -q""""uit",Shell_Execution_via_Find_attack108.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
109,"find . -exec /bin/sh \; -qu""""it",Shell_Execution_via_Find_attack109.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
110,"find . -exec /bin/sh \; -qui""""t",Shell_Execution_via_Find_attack110.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
111,"find . -exec /bin/sh \; -qu""""i""""t",Shell_Execution_via_Find_attack111.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
112,"find . -exec /bin/sh \; -qu""""i""""t""""",Shell_Execution_via_Find_attack112.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
113,find . -exec /bin/sh \; '-quit',Shell_Execution_via_Find_attack113.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
114,"find . -exec /bin/sh \; ""--quit""",Shell_Execution_via_Find_attack114.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
115,find . -exec /bin/sh \; -qu\u0069t,Shell_Execution_via_Find_attack115.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
116,find . -exec /bin/sh \; -\q\u\i\t,Shell_Execution_via_Find_attack116.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
117,find . -exec /bin/sh \; -q\u0069t,Shell_Execution_via_Find_attack117.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
118,find . -exec /bin/sh \; -qu\i\u\t,Shell_Execution_via_Find_attack118.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
119,find . -exec /bin/sh \; -q\u\i\u\t,Shell_Execution_via_Find_attack119.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
120,find . -exec /bin/sh \; --q\u0069t,Shell_Execution_via_Find_attack120.log,Trigger: Shell Execution via Find - Linux,Shell Execution via Find - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
121,find -exec /bin/sh \; -quit,Shell_Execution_via_Find_attack121.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
122,find -quit -exec /bin/sh \;,Shell_Execution_via_Find_attack122.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
123,find -exec /bin/sh \;,Shell_Execution_via_Find_attack123.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
124,find -exec /bin/sh \; -print -quit,Shell_Execution_via_Find_attack124.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
125,find -exec /bin/sh \; -false,Shell_Execution_via_Find_attack125.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
126,find -exec /bin/sh \; -quit -maxdepth 1,Shell_Execution_via_Find_attack126.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
127,find -exec /bin/sh \; -quit -type f,Shell_Execution_via_Find_attack127.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
128,"find -exec /bin/sh \; -quit -name ""*""",Shell_Execution_via_Find_attack128.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
129,find -exec /bin/sh \; -quit -empty,Shell_Execution_via_Find_attack129.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
130,find -exec /bin/sh \; -quit -user $(whoami),Shell_Execution_via_Find_attack130.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
131,find -exec /bin/sh \; -quit -group $(id -gn),Shell_Execution_via_Find_attack131.log,Bypass Target Rule,Local System Accounts Discovery - Linux | Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
132,find -exec /bin/sh \; -quit -size +0,Shell_Execution_via_Find_attack132.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
133,find -exec /bin/sh \; -quit -perm -111,Shell_Execution_via_Find_attack133.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
134,find -exec /bin/sh \; -quit -executable,Shell_Execution_via_Find_attack134.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
135,find -exec /bin/sh \; -quit -readable,Shell_Execution_via_Find_attack135.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
136,find -exec /bin/sh \; -quit -writable,Shell_Execution_via_Find_attack136.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
137,find -exec /bin/sh \; -quit -xtype f,Shell_Execution_via_Find_attack137.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
138,find -exec /bin/sh \; -quit -links 1,Shell_Execution_via_Find_attack138.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
139,"find -exec /bin/sh \; -quit -iname ""*.sh""",Shell_Execution_via_Find_attack139.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | File and Directory Discovery - Linux
